event_id,time,latitude,longitude,depth_km,magnitude,magnitude_type,region
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jllz&format=quakeml,2023-02-06 01:17:34.342000+00:00,37.2256,37.0143,10.0,7.8,mww,"Pazarcik earthquake, Kahramanmaras earthquake sequence"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlnn&format=quakeml,2023-02-06 01:26:50.869000+00:00,37.2252,37.0001,10.0,5.7,mb,"24 km ENE of Nurda??, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlm1&format=quakeml,2023-02-06 01:28:15.784000+00:00,37.1893,36.8929,9.797,6.7,mww,"14 km E of Nurda??, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlm9&format=quakeml,2023-02-06 01:36:27.357000+00:00,36.9921,36.6832,10.0,5.6,mb,Turkey-Syria border region
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnr5&format=quakeml,2023-02-06 01:40:48.558000+00:00,36.6696,36.4767,10.0,4.7,mb,"14 km SSW of A?a?? Karafak?l?, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnvq&format=quakeml,2023-02-06 01:41:15.211000+00:00,37.9792,38.5117,14.252,4.6,mb,"10 km SW of Sincik, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlmd&format=quakeml,2023-02-06 01:48:12.210000+00:00,37.9828,38.1435,10.0,4.9,mb,"9 km WSW of Çelikhan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jns9&format=quakeml,2023-02-06 01:50:10.207000+00:00,38.2407,38.7424,15.123,4.8,mb,"25 km NNE of Sincik, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnr6&format=quakeml,2023-02-06 01:51:19.056000+00:00,36.7205,36.6192,10.0,4.5,mb,"8 km SE of A?a?? Karafak?l?, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jm4n&format=quakeml,2023-02-06 01:51:43.490000+00:00,37.4756,37.1578,7.445,4.7,mb,"12 km W of Pazarc?k, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnr7&format=quakeml,2023-02-06 01:54:36.565000+00:00,36.3603,36.1708,10.0,4.4,mb,"3 km W of Serinyol, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnru&format=quakeml,2023-02-06 01:55:41.029000+00:00,37.2073,36.5988,10.0,4.4,mb,"2 km ENE of Bahçe, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnvm&format=quakeml,2023-02-06 01:56:29.834000+00:00,37.7175,37.3615,10.0,4.3,mb,"7 km ESE of Ça?layancerit, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlmf&format=quakeml,2023-02-06 01:58:23.118000+00:00,37.0302,36.6208,10.0,5.1,mb,"12 km SSE of Hasanbeyli, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnvi&format=quakeml,2023-02-06 02:01:18.994000+00:00,37.7238,37.8026,16.202,4.5,mb,"6 km WNW of Besni, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlmy&format=quakeml,2023-02-06 02:01:45.687000+00:00,37.3512,37.095,10.502,4.8,mb,"23 km SW of Pazarc?k, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlmh&format=quakeml,2023-02-06 02:03:37.341000+00:00,37.7712,37.9141,16.929,5.3,mb,Central Turkey
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jmn0&format=quakeml,2023-02-06 02:06:23.457000+00:00,37.9227,38.0613,10.0,5.0,mb,"19 km NE of Tut, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnr8&format=quakeml,2023-02-06 02:10:16.832000+00:00,38.1562,38.5195,14.253,4.4,mb,"15 km NNW of Sincik, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnr9&format=quakeml,2023-02-06 02:11:48.911000+00:00,37.9265,38.2237,16.711,4.1,mb,"11 km S of Çelikhan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnra&format=quakeml,2023-02-06 02:13:40.815000+00:00,37.2863,36.8539,10.0,4.2,mb,"16 km NE of Nurda??, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jmn3&format=quakeml,2023-02-06 02:16:09.128000+00:00,37.4468,37.0449,10.0,4.2,mb,"18 km SE of Kahramanmara?, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlmm&format=quakeml,2023-02-06 02:17:40.715000+00:00,37.1024,36.7301,12.201,4.8,mb,"7 km S of Nurda??, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jmn5&format=quakeml,2023-02-06 02:21:20.561000+00:00,37.4358,37.0658,14.349,4.2,mb,"20 km SE of Kahramanmara?, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlmn&format=quakeml,2023-02-06 02:23:14.336000+00:00,37.1816,36.9658,11.359,5.3,mb,"20 km E of Nurda??, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnw1&format=quakeml,2023-02-06 02:28:43.721000+00:00,37.4292,36.9502,8.01,4.1,mb,Central Turkey
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnsi&format=quakeml,2023-02-06 02:31:26.171000+00:00,37.4137,36.8216,12.112,4.5,mb,"21 km SSW of Kahramanmara?, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnw0&format=quakeml,2023-02-06 02:32:08.686000+00:00,37.5639,37.1467,17.393,4.5,mb,"15 km WNW of Pazarc?k, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrb&format=quakeml,2023-02-06 02:33:28.446000+00:00,38.1084,38.495,17.891,4.4,mb,"13 km NW of Sincik, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnry&format=quakeml,2023-02-06 02:34:18.119000+00:00,37.4941,37.2266,14.637,4.3,mb,"6 km W of Pazarc?k, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnsj&format=quakeml,2023-02-06 02:34:51.505000+00:00,37.0822,37.0363,10.0,4.7,mb,"24 km NNE of Musabeyli, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrd&format=quakeml,2023-02-06 02:38:44.305000+00:00,37.8697,38.3908,10.0,4.2,mb,"15 km NE of Ad?yaman, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnvz&format=quakeml,2023-02-06 02:43:47.299000+00:00,36.8497,36.3895,10.0,4.2,mb,"12 km WNW of Hassa, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlmv&format=quakeml,2023-02-06 02:54:00.446000+00:00,36.7084,36.3519,10.0,4.7,mb,"14 km ENE of Denizciler, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrf&format=quakeml,2023-02-06 03:01:14.387000+00:00,38.1475,38.435,14.043,4.1,mb,"19 km NW of Sincik, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrg&format=quakeml,2023-02-06 03:02:18.228000+00:00,37.9204,37.7822,10.0,4.4,mb,"18 km NW of Tut, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jln0&format=quakeml,2023-02-06 03:04:45.269000+00:00,38.1742,38.482,16.696,4.7,mb,"19 km NW of Sincik, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jln6&format=quakeml,2023-02-06 03:10:20.089000+00:00,37.7127,37.8001,16.08,4.4,mb,"5 km WNW of Besni, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jln3&format=quakeml,2023-02-06 03:12:11.339000+00:00,37.5003,37.3267,3.572,4.5,mb,"2 km ENE of Pazarc?k, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnsr&format=quakeml,2023-02-06 03:16:16.646000+00:00,38.0715,38.4951,17.34,4.3,mb,"11 km WNW of Sincik, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrj&format=quakeml,2023-02-06 03:19:15.155000+00:00,37.733,37.4257,10.0,4.0,mb,"12 km E of Ça?layancerit, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrl&format=quakeml,2023-02-06 03:22:44.992000+00:00,38.1446,38.558,12.514,4.3,mb,"12 km NNW of Sincik, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrh&format=quakeml,2023-02-06 03:24:30.161000+00:00,37.9268,37.8357,5.884,4.4,mb,"16 km NNW of Tut, Turkey"
